car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
Maruti Alto K10,51,Petrol,998,3,5.0,Automatic,27.0,Hatchback,4.5,399000,583000,89.0,3500,65.71,5500
Maruti Brezza,86,Petrol,1462,4,5.0,Automatic,48.0,SUV,4.5,799000,1396000,136.8,4400,101.65,6000
Mahindra Thar,242,Diesel,2184,4,4.0,Automatic,57.0,SUV,4.5,1353000,1603000,300.0,2800,130.0,3750
Mahindra XUV700,313,Diesel,2198,4,7.0,Automatic,60.0,SUV,4.5,1318000,2458000,450.0,2800,182.38,3500
Mahindra Scorpio-N,107,Diesel,2198,4,7.0,Automatic,57.0,SUV,4.5,1199000,2390000,400.0,2750,172.45,3500
Toyota Fortuner,99,Diesel,2755,4,7.0,Automatic,80.0,SUV,4.5,3240000,4957000,500.0,2800,201.15,3400
Hyundai Creta,731,Diesel,1493,4,5.0,Automatic,50.0,SUV,4.5,1044000,1818000,250.0,2750,113.45,4000
Tata Punch,381,Petrol,1199,3,5.0,Automatic,37.0,SUV,4.5,593000,949000,113.0,3400,84.48,6000
Mahindra Bolero,107,Diesel,1498,3,7.0,Manual,60.0,SUV,4.5,933000,1026000,210.0,2200,74.96,3600
Maruti Swift,205,Petrol,1197,4,5.0,Automatic,37.0,Hatchback,4.0,592000,885000,113.0,4400,88.5,6000
Tata Nexon,568,Diesel,1497,4,5.0,Automatic,44.0,SUV,4.5,760000,1408000,260.0,2750,108.49,4000
Hyundai Venue,36,Petrol,998,3,5.0,Automatic,45.0,SUV,4.5,753000,1272000,172.0,4000,118.41,6000
Kia Seltos,2171,Diesel,1493,4,5.0,Automatic,50.0,SUV,4.5,1049000,1865000,250.0,2750,113.43,4000
Hyundai Tucson,8,Diesel,1997,4,5.0,Automatic,54.0,SUV,4.5,2770000,3454000,416.0,2750,183.72,4000
Tata Harrier,2392,Diesel,1956,4,5.0,Automatic,50.0,SUV,4.5,1470000,2220000,350.0,2500,167.67,3750
Maruti Baleno,137,Petrol,1197,4,5.0,Automatic,37.0,Hatchback,4.5,649000,971000,113.0,4400,88.5,6000
Toyota Innova Crysta,91,Diesel,2393,4,8.0,Automatic,55.0,MUV,4.5,1786000,2654000,360.0,2600,148.0,3400
Maruti Ertiga,110,Petrol,1462,4,7.0,Automatic,45.0,MUV,4.5,835000,1279000,136.8,4400,101.65,6000
Kia Sonet,523,Diesel,1493,4,5.0,Automatic,45.0,SUV,4.0,749000,1379000,250.0,2750,113.43,4000
Maruti Dzire,245,Petrol,1197,4,5.0,Automatic,37.0,Sedan,4.5,624000,918000,113.0,4400,88.5,6000
Honda City 4th Generation,1067,Petrol,1497,4,5.0,Manual,40.0,Sedan,4.5,950000,1000000,145.0,4600,117.6,6600
Land Rover Range Rover,17,Petrol,4367,8,7.0,Automatic,90.0,SUV,4.5,23900000,41700000,700.0,3000,345.98,4000
Tata Tiago,435,CNG,1199,3,5.0,Manual,60.0,Hatchback,4.5,540000,782000,95.0,3500,72.0,6000
Hyundai i20,432,Petrol,998,3,5.0,Automatic,37.0,Hatchback,3.5,703000,1154000,171.62,4000,118.36,6000
Mahindra XUV300,2245,Diesel,1497,4,5.0,Automatic,42.0,SUV,4.5,841000,1407000,300.0,2500,115.0,3750
MG Hector,200,Diesel,1956,4,5.0,Manual,60.0,SUV,4.0,1415000,2011000,350.0,2500,167.68,3750
Tata Altroz,1025,Diesel,1497,4,5.0,Manual,37.0,Hatchback,4.5,630000,1025000,200.0,3000,88.77,4000
Mahindra Scorpio Classic,14,Diesel,2184,4,7.0,Manual,60.0,SUV,4.5,1199000,1549000,300.0,2800,130.07,3750
Hyundai Verna,234,Diesel,1493,4,5.0,Automatic,45.0,Sedan,4.5,941000,1545000,250.0,2750,113.45,4000
Citroen C3,57,Petrol,1199,3,5.0,Manual,30.0,Hatchback,4.5,571000,806000,190.0,1750,108.62,5500
Honda City,162,Diesel,1498,4,5.0,Manual,40.0,Sedan,4.5,1157000,1552000,200.0,1750,97.89,3600
Maruti Celerio,89,Petrol,998,3,5.0,Automatic,32.0,Hatchback,3.5,525000,700000,89.0,3500,65.71,5500
Nissan Magnite,278,Petrol,999,3,5.0,Automatic,40.0,SUV,4.5,597000,1079000,152.0,4400,98.63,5000
Renault KWID,545,Petrol,999,3,5.0,Automatic,28.0,Hatchback,4.5,464000,599000,91.0,4250,67.06,5500
Land Rover Defender,13,Petrol,4997,4,7.0,Automatic,89.0,SUV,4.5,8072000,21900000,650.0,2500,296.36,4000
Maruti Alto 800,437,CNG,796,3,5.0,Manual,60.0,Hatchback,4.5,339000,503000,60.0,3500,40.36,6000
Hyundai Kona Electric,40,Electric,0,0,5.0,Electric,0.0,SUV,4.5,2384000,2403000,395.0,0,134.1,0
Tata Tigor,136,CNG,1199,3,5.0,Manual,60.0,Sedan,4.5,600000,859000,95.0,3500,72.4,6000
Renault Kiger,228,Petrol,999,3,5.0,Automatic,40.0,SUV,4.5,599000,1062000,152.0,4400,98.63,5000
Maruti S-Presso,301,Petrol,998,3,5.0,Automatic,27.0,Hatchback,4.5,425000,599000,89.0,3500,65.71,5500
MG Astor,101,Petrol,1349,3,5.0,Automatic,45.0,SUV,4.5,1022000,1813000,220.0,3600,138.08,5600
Lamborghini Urus,33,Petrol,3996,8,5.0,Automatic,75.0,SUV,4.5,31500000,34300000,850.0,4500,641.0,6000
Honda Amaze,85,Diesel,1498,4,5.0,Automatic,35.0,Sedan,4.5,663000,1150000,160.0,1750,79.12,3600
Renault Triber,774,Petrol,999,3,7.0,Automatic,40.0,MUV,4.5,592000,851000,96.0,3500,71.0,6250
Hyundai Alcazar,207,Diesel,1493,4,7.0,Automatic,50.0,SUV,4.0,1589000,2025000,250.0,2750,113.42,4000
Hyundai Aura,261,Petrol,998,3,5.0,Manual,37.0,Sedan,4.5,609000,887000,172.0,4000,98.63,6000
Volkswagen Virtus,69,Petrol,1498,4,5.0,Automatic,45.0,Sedan,4.5,1122000,1792000,250.0,3500,147.51,6000
Skoda Slavia,52,Petrol,1498,4,5.0,Automatic,45.0,Sedan,4.5,1099000,1839000,250.0,3500,147.52,6000
Maruti Ignis,461,Petrol,1197,4,5.0,Automatic,32.0,Hatchback,4.5,535000,772000,113.0,4200,81.8,6000
Mercedes-Benz GLA,12,Diesel,1950,4,5.0,Automatic,0.0,SUV,4.5,4490000,4890000,400.0,2600,187.74,3800
Volvo XC90,35,Petrol,1969,4,7.0,Automatic,68.0,Hybrid,4.5,9390000,9665000,640.0,1740,400.0,0
Skoda Kushaq,172,Petrol,1498,4,5.0,Automatic,50.0,SUV,4.5,1129000,1949000,250.0,3500,147.51,6000
Maruti XL6,58,Petrol,1462,4,6.0,Automatic,45.0,MUV,4.5,1129000,1455000,136.8,4400,101.65,6000
Jeep Wrangler,18,Petrol,1998,4,5.0,Automatic,0.0,SUV,4.5,5635000,6035000,400.0,3000,268.0,5250
Maruti Eeco,264,Petrol,1196,4,7.0,Manual,65.0,Minivan,4.5,463000,594000,85.0,3000,61.68,6000
Force Gurkha,28,Diesel,2596,4,4.0,Manual,63.0,SUV,4.5,1449000,1449000,250.0,2400,89.84,3200
Maruti S-Cross,77,Petrol,1462,4,5.0,Automatic,48.0,SUV,4.5,895000,1292000,138.0,4400,103.25,6000
Maruti Ciaz,666,Petrol,1462,4,5.0,Automatic,43.0,Sedan,4.5,899000,1198000,138.0,4400,103.25,6000
Hyundai Santro,532,CNG,1086,4,5.0,Manual,60.0,Hatchback,4.5,490000,642000,85.3,4501,59.17,5500
Volkswagen Taigun,68,Petrol,1498,4,5.0,Automatic,50.0,SUV,4.5,1140000,1860000,250.0,3500,147.51,6000
BMW X7,15,Diesel,2993,6,7.0,Automatic,80.0,SUV,4.5,11800000,17800000,760.0,3000,394.26,4400
Audi Q7,9,Petrol,2995,6,7.0,Automatic,0.0,SUV,4.5,8249000,8808000,500.0,4500,335.25,6400
Toyota Vellfire,13,Petrol,2494,4,7.0,Automatic,58.0,MUV,4.5,9260000,9260000,198.0,4000,115.32,4700
Toyota Hilux,13,Diesel,2755,4,5.0,Automatic,80.0,Pickup Truck,4.5,3399000,3680000,500.0,2800,201.15,3400
MG Gloster,74,Diesel,1996,4,7.0,Automatic,75.0,SUV,4.5,3150000,3950000,480.0,2400,215.01,4000
Lamborghini Aventador,52,Petrol,6498,12,2.0,Automatic,90.0,Coupe,4.5,62500000,90000000,720.0,6750,759.01,8500
BMW X1,40,Diesel,1995,4,5.0,Automatic,51.0,SUV,4.5,4150000,4450000,400.0,2500,187.74,6000
BMW X5,28,Petrol,2998,6,5.0,Automatic,0.0,SUV,4.5,7990000,9590000,450.0,5200,335.26,6500
Toyota Camry,6,Petrol,2498,4,5.0,Automatic,0.0,Sedan,4.5,4435000,4435000,221.0,5200,175.67,5700
Volkswagen Tiguan,5,Petrol,1984,4,5.0,Automatic,60.0,SUV,4.5,3279000,3280000,320.0,4100,187.74,6000
Rolls-Royce Ghost,15,Petrol,6750,12,5.0,Automatic,0.0,Sedan,4.5,69500000,79500000,820.0,1500,563.0,5250
Skoda Octavia,20,Petrol,1984,4,5.0,Automatic,50.0,Sedan,4.5,2685000,2985000,320.0,3990,187.74,6000
Skoda Superb,22,Petrol,1984,4,5.0,Automatic,66.0,Sedan,4.5,3349000,3659000,320.0,4200,187.74,6000
Audi A6,19,Petrol,1984,4,5.0,Automatic,73.0,Sedan,4.5,5999000,6599000,370.0,4500,241.3,6500
Volvo XC40,20,Petrol,1969,4,5.0,Automatic,54.0,SUV,4.5,4450000,4450000,300.0,0,187.4,0
Kia EV6,15,Electric,0,0,5.0,Electric,0.0,SUV,4.5,5995000,6495000,605.0,0,320.55,0
Volvo S90,8,Petrol,1969,4,5.0,Automatic,60.0,Sedan,4.5,6590000,6590000,350.0,0,246.58,0
Honda Jazz,41,Petrol,1199,4,5.0,Automatic,40.0,Hatchback,4.5,801000,1032000,110.0,4800,88.5,6000
Land Rover Range Rover Velar,35,Petrol,1997,4,5.0,Automatic,82.0,SUV,4.5,8941000,8941000,365.0,4000,246.74,5500
Honda WR-V,81,Diesel,1498,4,5.0,Manual,40.0,SUV,4.5,911000,1231000,200.0,1750,97.89,3600
Volvo XC60,24,Petrol,1998,5,5.0,Automatic,70.0,SUV,4.5,6590000,6590000,440.0,3000,246.74,4000
Skoda Kodiaq,10,Petrol,1984,4,7.0,Automatic,58.0,SUV,4.5,3749000,3999000,320.0,4100,187.74,6000
Audi A4,23,Petrol,1998,4,5.0,Automatic,54.0,Sedan,4.5,4312000,4997000,320.0,4200,187.74,6000
BMW X3,6,Petrol,1998,4,5.0,Automatic,0.0,SUV,4.5,6190000,6790000,350.0,4800,248.08,5200
BMW Z4,12,Petrol,2998,6,2.0,Automatic,52.0,Convertible,4.5,7190000,8490000,500.0,4500,335.0,6500
BMW 3 Series Gran Limousine,43,Petrol,1998,4,5.0,Automatic,59.0,Sedan,4.5,4690000,6890000,400.0,4400,254.79,5000
Nissan Kicks,257,Petrol,1330,4,5.0,Automatic,50.0,SUV,4.5,950000,1490000,254.0,1600,153.87,5500
Mahindra Marazzo,321,Diesel,1497,4,8.0,Manual,45.0,MUV,4.5,1317000,1544000,300.0,2500,120.96,3500
Mercedes-Benz C-Class,11,Diesel,1993,4,5.0,Automatic,0.0,Sedan,4.5,5500000,6100000,550.0,2200,261.49,4200
BMW X6,4,Petrol,2998,6,5.0,Automatic,83.0,Luxury,4.5,10400000,10400000,450.0,5200,335.25,6500
Mahindra Alturas G4,122,Diesel,2157,4,7.0,Automatic,70.0,SUV,4.5,3188000,3188000,420.0,2600,178.49,3800
Bajaj Qute (RE60),43,CNG,216,1,4.0,Manual,35.0,Hatchback,4.0,361000,361000,16.1,4000,10.8,5500
Volkswagen Vento,94,Petrol,999,3,5.0,Automatic,55.0,Sedan,4.5,1000000,1444000,175.0,4000,108.62,5500
Audi Q5,3,Petrol,1984,4,5.0,Manual,0.0,SUV,4.5,5990000,6555000,370.0,4300,245.59,6000
Ferrari Roma,2,Petrol,3855,8,2.0,Automatic,80.0,Coupe,4.5,37600000,37600000,760.0,5750,611.5,7500
MG ZS EV,14,Electric,0,0,5.0,Electric,0.0,SUV,4.5,2200000,2588000,280.0,0,173.83,0
BMW 7 Series,16,Petrol,2998,6,4.0,Automatic,46.0,Sedan,4.5,14200000,17600000,450.0,5000,281.6,6000
Mercedes-Benz E-Class,8,Diesel,2925,6,5.0,Automatic,0.0,Sedan,4.5,6700000,8500000,600.0,3200,281.61,4600
BMW i4,8,Electric,0,0,5.0,Electric,0.0,Sedan,4.5,6990000,6990000,430.0,0,335.25,0
Land Rover Range Rover Sport,7,Diesel,2997,6,5.0,Automatic,0.0,SUV,4.5,16400000,18400000,700.0,3000,345.98,4000
Jaguar F-TYPE,4,Petrol,5000,8,2.0,Automatic,70.0,Coupe,4.5,9813000,15300000,580.0,500,443.8,6000
Datsun redi-GO,67,Petrol,999,3,5.0,Automatic,28.0,Hatchback,3.5,398000,496000,91.0,4250,67.05,5550
BMW 2 Series,9,Diesel,1995,4,5.0,Automatic,51.0,Sedan,4.5,4150000,4450000,400.0,2500,187.74,4000
Isuzu D-Max,8,Diesel,1898,4,5.0,Automatic,0.0,SUV,4.5,1300000,2700000,360.0,2500,160.92,3600
BMW 5 Series,6,Diesel,2993,6,5.0,Automatic,0.0,Sedan,4.5,6450000,7450000,620.0,2500,261.49,4000
Audi Q2,10,Petrol,1984,4,5.0,Automatic,55.0,SUV,4.5,3499000,4889000,320.0,4180,187.74,6000
Mercedes-Benz GLS,10,Petrol,3982,8,7.0,Automatic,90.0,SUV,4.5,11600000,24700000,730.0,4500,549.81,6500
Porsche Cayenne,12,Petrol,3996,8,5.0,Automatic,90.0,SUV,4.5,12700000,19300000,770.0,4500,550.0,6000
Citroen C5 Aircross,44,Diesel,1997,4,5.0,Automatic,52.5,SUV,4.0,3224000,3378000,400.0,2000,174.33,3750
Datsun GO,312,Petrol,1198,3,5.0,Automatic,35.0,Hatchback,4.5,403000,651000,104.0,4400,76.43,6000
Volvo S60,7,Petrol,1969,4,5.0,Automatic,0.0,Sedan,4.5,4590000,4590000,300.0,0,190.0,0
Porsche Macan,9,Petrol,2894,6,5.0,Automatic,65.0,SUV,4.5,8321000,14700000,550.0,5600,434.49,6600
Jaguar XE,22,Petrol,1997,4,5.0,Automatic,61.7,Sedan,4.5,4664000,4850000,365.0,4000,246.74,5500
BYD E6,6,Electric,0,0,5.0,Electric,0.0,MUV,4.5,2915000,2915000,180.0,0,93.87,0
Jaguar F-Pace,5,Petrol,4999,8,5.0,Automatic,82.0,SUV,4.5,7488000,15600000,700.0,5000,543.11,6500
Tata Tiago NRG,12,Petrol,1199,3,5.0,Automatic,35.0,Hatchback,4.5,642000,738000,113.0,3300,84.48,6000
Mahindra KUV 100 NXT,226,Petrol,1198,3,6.0,Manual,35.0,Hatchback,4.5,618000,784000,115.0,3600,82.0,5500
Mini Cooper SE,3,Electric,0,0,4.0,Automatic,0.0,Hatchback,4.5,5090000,5090000,270.0,1000,181.03,0
Audi e-tron,7,Electric,0,0,5.0,Electric,0.0,Coupe,4.5,10100000,11900000,664.0,0,300.0,0
Datsun GO Plus,307,Petrol,1198,3,7.0,Automatic,35.0,MUV,4.5,426000,700000,104.0,4400,76.43,6000
Mercedes-Benz AMG G 63,8,Petrol,3982,8,5.0,Automatic,0.0,SUV,4.5,25500000,25500000,850.0,3500,576.63,6000
Mercedes-Benz AMG GT,16,Petrol,3982,8,2.0,Automatic,75.0,Coupe,4.5,27100000,27100000,700.0,5500,576.63,6250
Lexus ES,31,Petrol,2487,4,5.0,Automatic,65.0,Sedan,4.5,5950000,6560000,202.0,5200,214.56,5700
Porsche Taycan,8,Electric,0,0,5.0,Electric,0.0,Wagon,4.5,15300000,23400000,650.0,0,482.76,0
Lexus LS,3,Petrol,3456,6,4.0,Automatic,82.0,Sedan,4.5,19100000,22200000,350.0,5100,354.0,6600
Rolls-Royce Cullinan,15,Petrol,6750,12,5.0,Automatic,0.0,SUV,4.5,69500000,69500000,850.0,1600,563.0,5000
Isuzu MU-X,2,Diesel,1898,4,7.0,Automatic,55.0,SUV,4.5,3500000,3790000,360.0,2500,160.92,3600
BMW iX,3,Electric,0,0,5.0,Electric,0.0,SUV,4.5,11600000,11600000,630.0,0,321.84,0
Bentley Flying Spur,9,Petrol,5950,12,4.0,Automatic,90.0,Sedan,4.5,32200000,34100000,900.0,4500,626.0,6000
Mercedes-Benz S-Class,12,Petrol,2999,6,5.0,Automatic,0.0,Sedan,4.5,16000000,16900000,500.0,4500,362.07,6100
Maserati Quattroporte,2,Petrol,3799,8,5.0,Automatic,80.0,Sedan,4.5,17100000,21200000,650.0,4000,530.0,6800
Jaguar XF,31,Diesel,1997,4,5.0,Automatic,0.0,Sedan,4.5,7160000,7600000,430.0,2500,201.15,4250
Mercedes-Benz GLC,38,Diesel,1950,4,5.0,Automatic,66.0,SUV,4.5,6200000,6800000,400.0,2800,194.0,3800
Ferrari Portofino,5,Petrol,3855,8,4.0,Automatic,81.0,Convertible,4.5,35000000,35000000,760.0,5250,591.79,7500
Mercedes-Benz Maybach S-Class,7,Petrol,5980,12,4.0,Automatic,0.0,Sedan,4.5,25000000,32000000,900.0,4000,603.46,5500
Maserati Levante,4,Petrol,2979,6,5.0,Automatic,80.0,SUV,3.5,14900000,16400000,580.0,5750,350.0,5750
Tata Yodha Pickup,4,Diesel,2956,4,4.0,Manual,45.0,Pickup Truck,4.5,695000,750000,250.0,2000,85.0,3000
Aston Martin DBX,5,Diesel,3982,8,5.0,Automatic,85.0,SUV,4.5,38200000,38200000,700.0,5000,542.0,6500
Bentley Continental,17,Petrol,5998,12,4.0,Automatic,90.0,Convertible,4.5,32900000,39100000,700.0,1600,562.0,6000
Mercedes-Benz EQS,2,Electric,0,0,5.0,Electric,0.0,Sedan,5.0,25400000,25400000,1020.0,0,750.97,0
Ferrari 812,3,Petrol,6496,8,2.0,Automatic,92.0,Convertible,4.5,57500000,57500000,718.0,7000,788.52,8500
Audi RS7,4,Petrol,3996,6,4.0,Automatic,73.0,Luxury,4.5,22400000,22400000,800.0,4500,591.0,6250
Mercedes-Benz AMG GLE 63 S,2,Petrol,3982,8,5.0,Automatic,0.0,SUV,4.5,21500000,21500000,850.0,5000,603.46,6500
Mclaren GT,1,Petrol,3994,8,,Automatic,72.0,Coupe,4.5,45000000,45000000,630.0,0,611.51,0
Mercedes-Benz G-Class,12,Diesel,2925,6,5.0,Automatic,100.0,SUV,4.5,17200000,17200000,600.0,3200,281.61,4600
Nissan GT-R,20,Petrol,3798,6,4.0,Automatic,74.0,Coupe,4.5,21200000,21200000,637.0,5800,562.2,6800
BMW M2,5,Petrol,2979,6,4.0,Automatic,52.0,Coupe,4.5,8500000,8500000,550.0,5230,410.0,6250
Mahindra E Verito,14,Electric,0,0,5.0,Electric,0.0,Sedan,4.0,913000,946000,91.0,3000,41.57,3500
Rolls Royce Wraith,6,Petrol,6592,12,4.0,Automatic,83.0,Coupe,4.5,62200000,72100000,900.0,4500,591.0,5500
Mercedes-Benz V-Class,8,Diesel,2143,4,7.0,Automatic,57.0,MUV,4.5,7110000,14600000,380.0,2400,161.0,3800
Porsche 911,8,Petrol,2981,6,4.0,Automatic,64.0,Coupe,4.5,17300000,31400000,450.0,5000,641.0,6500
Porsche Panamera,1,Petrol,2894,8,5.0,Automatic,0.0,Wagon,4.5,15800000,27100000,770.0,4500,680.0,6000
Mini Cooper Convertible,14,Petrol,1998,4,4.0,Automatic,44.0,Convertible,4.5,5150000,5150000,280.0,1250,189.08,6000
Maserati Ghibli,2,Petrol,3799,8,5.0,Automatic,80.0,Sedan,3.0,11500000,19300000,450.0,1500,330.0,1500
Lexus NX,1,Petrol,2487,4,5.0,Automatic,55.0,SUV,4.0,6490000,7160000,239.0,4500,187.74,6000
Land Rover Discovery Sport,6,Petrol,1997,4,7.0,Automatic,70.0,SUV,4.5,6530000,7139000,365.0,4500,245.4,5500
Bentley Bentayga,1,Petrol,3956,8,4.0,Automatic,85.0,SUV,4.0,41000000,41000000,770.0,4500,542.0,6000
Ferrari SF90 Stradale,8,Petrol,3990,8,2.0,Automatic,68.0,Coupe,4.5,450000,450000,800.0,6000,769.31,7500
Strom Motors R3,2,Electric,0,0,2.0,Electric,0.0,Hatchback,3.5,21600000,22000000,90.0,0,20.11,0
Lexus LC 500h,1,Petrol,3456,6,4.0,Automatic,82.0,Coupe,4.5,22500000,25100000,350.0,5100,295.02,6600
Maserati GranTurismo,3,Petrol,4691,8,4.0,Automatic,86.0,Coupe,5.0,40200000,40200000,520.0,4750,460.0,7000
Ferrari F8 Tributo,6,Petrol,3902,8,2.0,Automatic,78.0,Coupe,3.5,8580000,12500000,770.0,3250,710.74,8000
Mercedes-Benz GLE,2,Diesel,2925,6,5.0,Automatic,93.0,SUV,4.5,14400000,14400000,700.0,4000,325.8,4200
BMW M4 Competition,11,Petrol,2993,6,5.0,Automatic,0.0,Coupe,4.5,16200000,22300000,650.0,5500,502.88,6250
BMW 8 Series,3,Petrol,4395,8,4.0,Automatic,68.0,Coupe,4.5,4200000,4600000,750.0,5600,600.0,6000
Mini Cooper Countryman,13,Petrol,1998,4,5.0,Automatic,51.0,SUV,4.5,4200000,4400000,280.0,1350,189.08,6000
Mercedes-Benz A-Class Limousine,3,Diesel,1950,4,5.0,Automatic,66.0,Sedan,4.5,13700000,25400000,320.0,3500,147.51,4000
Maserati GranCabrio,2,Diesel,4691,8,4.0,Automatic,75.0,Convertible,4.0,15900000,15900000,520.0,0,460.0,0
Mercedes-Benz AMG GLE 53,1,Petrol,2999,6,5.0,Automatic,85.0,Coupe,4.5,30000000,35000000,520.0,5800,435.0,6100
Aston Martin Vantage,3,Petrol,3998,8,2.0,Manual,73.0,Convertible,3.5,9950000,9950000,675.0,5000,502.88,6000
Mercedes-Benz EQC,1,Electric,0,0,5.0,Automatic,0.0,SUV,4.5,8247000,8247000,760.0,0,402.3,0
Mercedes-Benz AMG C 43,1,Petrol,2996,6,5.0,Automatic,0.0,Coupe,4.5,11100000,11100000,520.0,5000,384.87,6100
Lexus RX,5,Petrol,3456,6,5.0,Automatic,65.0,SUV,5.0,726000,726000,335.0,4600,258.81,6000
Hyundai Xcent Prime,8,CNG,1197,4,5.0,Manual,65.0,Sedan,4.5,12000000,12400000,97.96,4200,65.39,5600
Jaguar I-Pace,6,Electric,0,0,5.0,Electric,0.0,SUV,4.5,70600000,76400000,696.0,0,394.26,0
Rolls Royce Dawn,2,Petrol,6598,12,4.0,Automatic,0.0,Convertible,4.0,20800000,20800000,820.0,5000,563.0,6000
BMW X5 M,30,Petrol,4395,8,5.0,Automatic,83.0,SUV,5.0,32100000,49900000,750.0,5600,616.87,6000
Lamborghini Huracan EVO,5,Petrol,5204,10,2.0,Automatic,80.0,Coupe,4.5,4000000,4000000,565.0,6500,630.28,8000
Mini Cooper 3 DOOR,15,Petrol,1998,4,4.0,Automatic,44.0,Hatchback,4.5,8470000,8470000,280.0,1250,189.08,6000
Mercedes-Benz CLS,60,Diesel,1950,4,5.0,Automatic,66.0,Coupe,4.5,885000,912000,500.0,2400,241.3,4200
Mahindra Bolero PikUp ExtraLong,5,Diesel,2523,4,2.0,Manual,60.0,Pickup Truck,4.5,23300000,23300000,200.0,2200,75.09,3200
Lexus LX,1,Petrol,5663,8,8.0,Automatic,93.0,SUV,5.0,8700000,8700000,530.0,3200,362.0,5600
Mercedes-Benz AMG GLC 43,9,Petrol,2996,6,5.0,Automatic,0.0,SUV,4.5,927000,976000,520.0,5000,384.87,6100
Mahindra Bolero Camper,88,Diesel,2523,4,5.0,Manual,57.0,Pickup Truck,4.5,2999000,3549000,200.0,2200,75.09,3200
Tata Nexon EV Max,1,Electric,0,0,5.0,Electric,0.0,SUV,5.0,463000,583000,250.0,0,141.04,0
Mahindra Bolero Neo,97,Diesel,1493,3,7.0,Manual,50.0,SUV,4.5,903000,1173000,260.0,2250,100.0,3750
Mahindra Bolero Neo,1,Diesel,1493,3,7.0,Manual,50.0,SUV,4.5,13500000,25700000,260.0,2250,100.0,3750
Audi e-tron GT,1,Electric,0,0,5.0,Electric,0.0,Coupe,4.5,5800000,5800000,630.0,0,522.99,0
Maruti Swift Dzire Tour,1,CNG,1197,4,5.0,Manual,55.0,Sedan,4.5,13500000,25700000,95.0,4000,70.4,6000
Mercedes-Benz AMG A 35,21,Petrol,1991,4,5.0,Automatic,51.0,Sedan,4.5,1989000,1989000,400.0,4000,301.73,5800
Mercedes-Benz GLC Coupe,5,Diesel,1950,4,5.0,Automatic,66.0,Coupe,5.0,3132000,3132000,500.0,2400,241.38,4200
Toyota Glanza,23,Petrol,1197,4,5.0,Automatic,37.0,Hatchback,4.5,2990000,3695000,113.0,4400,88.5,6000
Toyota Glanza,3,Petrol,1197,4,5.0,Automatic,37.0,Hatchback,4.5,5590000,5590000,113.0,4400,88.5,6000
Porsche Cayenne Coupe,1,Petrol,3996,8,4.0,Automatic,0.0,SUV,3.5,18900000,18900000,850.0,4500,631.62,6000
Porsche Cayenne Coupe,6,Petrol,3996,8,4.0,Automatic,0.0,SUV,3.5,391000,397000,850.0,4500,631.62,6000
Honda City Hybrid,1,Petrol,1498,4,5.0,Automatic,40.0,Sedan,4.5,8150000,8150000,127.0,5000,96.55,6400
Compass Trailhawk,1,Diesel,1998,4,5.0,Automatic,60.0,SUV,4.5,5450000,5690000,350.0,2500,170.0,3750
Jeep Meridian,78,Diesel,1956,4,7.0,Automatic,60.0,SUV,4.5,1615000,2075000,350.0,2500,167.67,3750
Mercedes-Benz AMG A 45 S,35,Petrol,1991,4,5.0,Automatic,0.0,Hatchback,4.5,659000,999000,500.0,5250,415.71,6750
BMW 3 Series Gran Limousine,3,Petrol,1998,4,5.0,Automatic,59.0,Sedan,4.5,1041000,1041000,400.0,4400,254.79,5000
MG Hector Plus,2,Diesel,1956,4,7.0,Manual,60.0,SUV,4.5,1615000,2075000,350.0,2500,167.67,3750
Audi RS Q8,9,Petrol,3998,8,5.0,Automatic,85.0,SUV,3.5,21700000,21700000,800.0,4500,591.39,6000
Maruti Alto 800 tour,4,Petrol,796,3,5.0,Manual,35.0,Hatchback,4.5,391000,397000,69.0,3500,47.33,6000
